name,xml_name,cas,smiles
"1,1-dichloro-2,2-bis(4-ethylphenyl)ethane","1,1-dichloro-2,2-bis(4-ethylphenyl)ethane  (F)",,CCC1=CC=C(C=C1)C(C2=CC=C(C=C2)CC)C(Cl)Cl
"1,2-Dibromoethane","1,2-dibromoethane (ethylene dibromide) (F)",106-93-4,C(CBr)Br
"1,2-Dichloroethane","1,2-dichloroethane (ethylene dichloride) (F)",107-06-2,C(CCl)Cl
"1,3-Dichloropropene","1,3-Dichloropropene",542-75-6,C(C=CCl)Cl
"1,4-Diaminobutane","1,4-Diaminobutane  (aka Putrescine) (++)",,C(CCN)CN
"1,4-Dimethylnaphthalene","1,4-dimethylnaphthalene (R)(F)",571-58-4,CC1=CC=C(C2=CC=CC=C12)C
1-Decanol,1-Decanol,112-30-1,CCCCCCCCCCO
1-Naphthylacetamide and 1-naphthylacetic acid,"1-Naphthylacetamide and 1-naphthylacetic acid (sum of 1-naphthylacetamide and 1-naphthylacetic acid and its salts, expressed as 1-naphythlacetic acid)",,
1-methyl-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide,1-methyl-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide (PAM),,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
1-methylcyclopropene,1-methylcyclopropene,3100-04-7,CC1=CC1
"2,4,5-T","2,4,5-T (sum of 2,4,5-T, its salts and esters, expressed as 2,4,5-T) (F)",93-76-5,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O
"2,4-D","2,4-D (sum of 2,4-D, its salts, its esters and its conjugates, expressed as 2,4-D)",94-75-7,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
"2,4-DB","2,4-DB (sum of 2,4-DB, its salts, its esters and its conjugates, expressed as 2,4-DB) (R)",94-82-6,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
"2,5-Dichlorobenzoic acid methylester","2,5-dichlorobenzoic acid methylester (sum of 2,5-dichlorobenzoic acid and its ester expressed as 2,5-dichlorobenzoic acid methylester)",2905-69-3,COC(=O)C1=C(C=CC(=C1)Cl)Cl
"2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron","2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron  (F)",,
2-naphthyloxyacetic acid,2-naphthyloxyacetic acid,,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O
2-phenylphenol,"2-phenylphenol (sum of 2-phenylphenol and its conjugates, expressed as 2-phenylphenol) (R)(F)",,C1=CC=C(C=C1)C2=CC=CC=C2O
24-Epibrassinolide,24-epibrassinolide,78821-43-9,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2COC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@H](C)C(C)C)O)O
3-decen-2-one,3-decen-2-one,,CCCCCC/C=C/C(=O)C
6-Benzyladenine,6-Benzyladenine,1214-39-7,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3
8-hydroxyquinoline,"8-hydroxyquinoline (sum of 8-hydroxyquinoline and its salts, expressed as 8-hydroxyquinoline)",,C1=CC2=C(C(=C1)O)N=CC=C2
ABE-IT 56,ABE-IT 56,No CAS allocated,
Abamectin,"Abamectin (sum of avermectin B1a, avermectin B1b and delta-8,9 isomer of avermectin B1a, expressed as avermectin B1a) (R)(F)",,CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C(C)C)C)O
Acephate,Acephate,30560-19-1,CC(=O)NP(=O)(OC)SC
Acequinocyl,Acequinocyl (F),57960-19-7,CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C
Acetamiprid,Acetamiprid  (R),135410-20-7,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl
Acetic acid,Acetic acid,64-19-7,CC(=O)O
Acetochlor,Acetochlor,34256-82-1,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C
"Acibenzolar-S-methyl (sum of acibenzolar-S-methyl and acibenzolar acid (free and conjugated), expressed as acibenzolar-S-methyl)","Acibenzolar-S-methyl (sum of acibenzolar-S-methyl and acibenzolar acid (free and conjugated), expressed as acibenzolar-S-methyl)",,
Aclonifen,Aclonifen,74070-46-5,C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl
Acrinathrin,Acrinathrin  (F),101007-06-1,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C
Adoxophyes orana GV strain BV-0001,Adoxophyes orana GV strain BV-0001,No CAS allocated,
Akanthomyces muscarius Ve6 (formerly Lecanicillium muscarium strain Ve6),Akanthomyces muscarius Ve6 (formerly Lecanicillium muscarium strain Ve6),No CAS allocated,
Alachlor,Alachlor,15972-60-8,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
Aldicarb,"Aldicarb (sum of aldicarb, its sulfoxide and its sulfone, expressed as aldicarb)",116-06-3,CC(C)(/C=N/OC(=O)NC)SC
Aldrin and Dieldrin,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin) (F),,
Allium cepa L. bulb extract,Allium cepa L. bulb extract,No CAS allocated,
Aluminium silicate,Aluminium silicate  (aka kaolin) (++)(+),,
Ametoctradin,Ametoctradin (R)(F),865318-97-4,CCCCCCCCC1=C(N2C(=NC=N2)N=C1CC)N
Amidosulfuron,Amidosulfuron  (R)(A),120923-37-7,CN(S(=O)(=O)C)S(=O)(=O)NC(=O)NC1=NC(=CC(=N1)OC)OC
Aminopyralid,"Aminopyralid (sum of aminopyralid, its salts and its conjugates, expressed as aminopyralid) (R)",150114-71-9,C1=C(C(=C(N=C1Cl)C(=O)O)Cl)N
Amisulbrom,Amisulbrom,348635-87-0,CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br
Amitraz,"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",33089-61-1,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C
Amitrole,Amitrole,,C1=NNC(=N1)N
Ammonium Acetate,Ammonium acetate  (++),631-61-8,CC(=O)[O-].[NH4+]
Ampelomyces quisqualis strain AQ10,Ampelomyces quisqualis strain AQ10,No CAS allocated,
