xml_name,name,cas,matched
"1,1-dichloro-2,2-bis(4-ethylphenyl)ethane  (F)","1,1-dichloro-2,2-bis(4-ethylphenyl)ethane",,False
"1,2-dibromoethane (ethylene dibromide) (F)","1,2-Dibromoethane",106-93-4,True
"1,2-dichloroethane (ethylene dichloride) (F)","1,2-Dichloroethane",107-06-2,True
"1,3-Dichloropropene","1,3-Dichloropropene",542-75-6,True
"1,4-Diaminobutane  (aka Putrescine) (++)","1,4-Diaminobutane",,False
"1,4-dimethylnaphthalene (R)(F)","1,4-Dimethylnaphthalene",571-58-4,True
1-Decanol,1-Decanol,112-30-1,True
"1-Naphthylacetamide and 1-naphthylacetic acid (sum of 1-naphthylacetamide and 1-naphthylacetic acid and its salts, expressed as 1-naphythlacetic acid)",1-Naphthylacetamide and 1-naphthylacetic acid,,False
1-methyl-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide (PAM),1-methyl-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide,,False
1-methylcyclopropene,1-methylcyclopropene,3100-04-7,True
"2,4,5-T (sum of 2,4,5-T, its salts and esters, expressed as 2,4,5-T) (F)","2,4,5-T",93-76-5,True
"2,4-D (sum of 2,4-D, its salts, its esters and its conjugates, expressed as 2,4-D)","2,4-D",94-75-7,True
"2,4-DB (sum of 2,4-DB, its salts, its esters and its conjugates, expressed as 2,4-DB) (R)","2,4-DB",94-82-6,True
"2,5-dichlorobenzoic acid methylester (sum of 2,5-dichlorobenzoic acid and its ester expressed as 2,5-dichlorobenzoic acid methylester)","2,5-Dichlorobenzoic acid methylester",2905-69-3,True
"2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron  (F)","2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron",,False
2-naphthyloxyacetic acid,2-naphthyloxyacetic acid,,False
"2-phenylphenol (sum of 2-phenylphenol and its conjugates, expressed as 2-phenylphenol) (R)(F)",2-phenylphenol,,False
24-epibrassinolide,24-Epibrassinolide,78821-43-9,True
3-decen-2-one,3-decen-2-one,,False
6-Benzyladenine,6-Benzyladenine,1214-39-7,True
"8-hydroxyquinoline (sum of 8-hydroxyquinoline and its salts, expressed as 8-hydroxyquinoline)",8-hydroxyquinoline,,False
ABE-IT 56,ABE-IT 56,No CAS allocated,True
"Abamectin (sum of avermectin B1a, avermectin B1b and delta-8,9 isomer of avermectin B1a, expressed as avermectin B1a) (R)(F)",Abamectin,,False
Acephate,Acephate,30560-19-1,True
Acequinocyl (F),Acequinocyl,57960-19-7,True
Acetamiprid  (R),Acetamiprid,135410-20-7,True
Acetic acid,Acetic acid,64-19-7,True
Acetochlor,Acetochlor,34256-82-1,True
"Acibenzolar-S-methyl (sum of acibenzolar-S-methyl and acibenzolar acid (free and conjugated), expressed as acibenzolar-S-methyl)","Acibenzolar-S-methyl (sum of acibenzolar-S-methyl and acibenzolar acid (free and conjugated), expressed as acibenzolar-S-methyl)",,False
Aclonifen,Aclonifen,74070-46-5,True
Acrinathrin  (F),Acrinathrin,101007-06-1,True
Adoxophyes orana GV strain BV-0001,Adoxophyes orana GV strain BV-0001,No CAS allocated,True
Akanthomyces muscarius Ve6 (formerly Lecanicillium muscarium strain Ve6),Akanthomyces muscarius Ve6 (formerly Lecanicillium muscarium strain Ve6),No CAS allocated,True
Alachlor,Alachlor,15972-60-8,True
"Aldicarb (sum of aldicarb, its sulfoxide and its sulfone, expressed as aldicarb)",Aldicarb,116-06-3,True
